date,open,high,low,close,volume
21-10-2016,15.8526,16.0549,15.7948,16.0549,77954926
24-10-2016,16.1319,16.1801,15.9971,16.1512,68244817
25-10-2016,16.0934,16.1993,16.0645,16.103,49350278
26-10-2016,16.026,16.2475,16.0067,16.2475,58730367
27-10-2016,16.3245,16.469,16.2421,16.286,97937253
28-10-2016,16.3245,16.3534,15.8911,16.0645,115123601
31-10-2016,16.0645,16.1127,15.8911,15.8911,70387630
01-11-2016,15.9489,16.1319,15.7274,15.9971,88587059
02-11-2016,15.8526,15.9489,15.6793,15.8719,119202034
03-11-2016,15.8671,16.0549,15.843,15.8719,69690374
04-11-2016,15.92,16.0934,15.7501,15.9393,82437373
07-11-2016,16.2379,16.4112,16.2282,16.3823,91581902
08-11-2016,16.1993,16.4738,16.0934,16.3727,95842770
09-11-2016,17.0083,17.384,16.7579,17.3069,319516881
10-11-2016,17.5862,18.2893,17.5766,18.0678,304986449
11-11-2016,17.9522,18.3278,17.9425,18.3182,212952487
14-11-2016,18.6938,19.4546,18.6841,19.339,320959885
15-11-2016,19.0597,19.4354,18.8768,19.4161,190293076
16-11-2016,19.0501,19.2235,18.9538,19.0212,126734547
17-11-2016,19.0309,19.4739,18.9779,19.339,167979154
18-11-2016,19.3198,19.3968,19.1368,19.262,120620238
21-11-2016,19.3583,19.5991,19.2716,19.5798,117479106
22-11-2016,19.6954,19.7147,19.3776,19.5509,104771816
23-11-2016,19.6665,19.8976,19.4546,19.8013,110963157
25-11-2016,19.8591,20.1047,19.7435,20.0903,62610385
28-11-2016,19.9073,20.0806,19.5028,19.5509,108651231
29-11-2016,19.628,19.7821,19.5028,19.5413,114216829
30-11-2016,20.0778,20.4838,20.0295,20.4161,191699579
01-12-2016,20.7061,21.2088,20.6288,20.7835,199233944
02-12-2016,20.7738,20.7835,20.3195,20.5225,128468708
05-12-2016,20.7545,21.1402,20.7448,21.1121,130377307
06-12-2016,21.3538,21.4215,20.9961,21.4215,120789194
07-12-2016,21.4505,21.8178,21.2185,21.8178,168005152
08-12-2016,22.0305,22.4655,21.9338,22.1851,182693888
09-12-2016,22.1851,22.3978,22.0208,22.3205,130590406
12-12-2016,22.2335,22.4751,21.784,21.8565,136869792
13-12-2016,22.0401,22.1175,21.5471,21.8565,118204085
14-12-2016,21.5665,22.5235,21.4698,21.9145,225340901
15-12-2016,22.1368,22.6105,22.0401,22.3881,162025814
16-12-2016,22.5428,22.5428,21.8951,21.9048,147497746
19-12-2016,21.8468,21.9628,21.5858,21.7308,97508910
20-12-2016,21.8758,22.0691,21.8565,21.9531,83879520
21-12-2016,21.9628,21.9628,21.7211,21.8758,61079086
22-12-2016,21.8468,21.9725,21.7211,21.7888,67123500
23-12-2016,21.7598,21.8951,21.6825,21.8468,38187752
27-12-2016,21.9531,21.9773,21.7888,21.8565,39988630
28-12-2016,21.8661,21.9145,21.5181,21.5858,52652949
29-12-2016,21.5858,21.6438,21.0445,21.2668,79188397
30-12-2016,21.2861,21.5181,21.2185,21.3635,72605892
03-01-2017,21.8468,21.9241,21.4601,21.7791,99298080
04-01-2017,21.9628,22.1948,21.8468,22.1851,76875052
05-01-2017,22.0595,22.1658,21.6003,21.9241,86826447
06-01-2017,22.0208,22.0885,21.8081,21.9241,66281476
09-01-2017,21.7598,21.9531,21.6535,21.7985,75901509
10-01-2017,21.8371,22.3688,21.7888,22.1755,100977665
11-01-2017,22.1755,22.3011,21.9628,22.3011,92385551
12-01-2017,22.2431,22.3495,21.8565,22.1561,120474191
13-01-2017,22.4365,22.6288,22.0401,22.2431,161930864
17-01-2017,21.9241,22.0305,21.2765,21.3151,152495923
18-01-2017,21.5568,21.8951,21.3635,21.8758,124366028
19-01-2017,21.9725,22.0498,21.6631,21.7791,75990836
20-01-2017,21.9048,22.1658,21.7695,21.8855,102564870
23-01-2017,21.8661,22.0015,21.668,21.8081,61385646
24-01-2017,21.8565,22.3253,21.7308,22.1851,98508678
25-01-2017,22.5428,22.6395,22.3301,22.5911,99753317
26-01-2017,22.6298,22.7651,22.5041,22.6588,84146352
27-01-2017,22.6491,22.6685,22.5041,22.5815,54558089
30-01-2017,22.4268,22.4268,21.9531,22.1851,91561224
31-01-2017,22.0111,22.2576,21.7501,21.8855,91044261
01-02-2017,22.2045,22.4461,22.0595,22.1271,103630853
02-02-2017,21.9821,22.0305,21.7598,21.9628,88679063
03-02-2017,22.3785,22.5718,22.1851,22.5138,116035108
